측정,측정망,측정소명,측정날짜,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
미세먼지(PM10),도시대기,[경기 수원시]고색동,2022년10월,106,45,25,15,28,16,15,13,11,10,21,32,30,39,47,63,35,27,35,53,80,66,42,33,25,22,38,59,53,43,34
미세먼지(PM10),도시대기,[경기 수원시]광교동,2022년10월,90,40,25,18,26,12,13,11,11,12,20,23,21,30,37,51,30,22,25,38,62,51,38,27,15,17,31,48,34,30,27
미세먼지(PM10),도시대기,[경기 수원시]신풍동,2022년10월,,,,,,,18,13,10,10,24,24,19,28,35,42,31,24,27,36,49,43,35,29,17,21,31,40,31,28,25
미세먼지(PM10),도시대기,[경기 수원시]영통동,2022년10월,68,34,18,14,23,13,11,11,10,10,19,26,21,30,37,44,33,25,29,38,55,42,37,27,16,17,34,43,34,30,26
미세먼지(PM10),도시대기,[경기 수원시]인계동,2022년10월,59,33,16,14,23,11,12,11,9,8,20,25,20,30,37,42,32,26,29,44,75,61,35,29,17,18,34,53,37,32,28
미세먼지(PM10),도시대기,[경기 수원시]천천동,2022년10월,121,50,29,21,31,14,15,14,10,10,24,31,28,42,48,61,36,29,33,53,64,,,33,16,17,30,50,32,28,25
미세먼지(PM10),도시대기,[경기 수원시]호매실,2022년10월,77,42,21,14,23,14,12,11,9,10,16,20,20,31,38,50,29,21,23,36,56,46,35,26,16,15,27,46,34,31,27
미세먼지(PM10),도시대기,[경기 시흥시]대야동,2022년10월,94,46,18,18,23,13,14,17,10,11,18,30,29,40,47,59,31,23,31,50,66,60,41,32,29,22,46,66,42,39,38
미세먼지(PM10),도시대기,[경기 시흥시]목감동,2022년10월,84,42,15,16,26,20,17,14,9,8,22,27,30,42,45,49,29,26,32,45,62,52,38,33,26,25,42,58,41,36,33
미세먼지(PM10),도시대기,[경기 시흥시]배곧동,2022년10월,108,50,14,15,23,15,15,14,10,10,22,31,31,43,50,60,35,26,35,53,83,63,44,32,30,23,44,65,46,41,35
미세먼지(PM10),도시대기,[경기 시흥시]시화산단,2022년10월,100,51,15,16,25,16,16,14,9,8,16,36,31,44,51,62,32,22,34,54,91,68,41,30,23,20,42,73,47,43,37
미세먼지(PM10),도시대기,[경기 시흥시]장현동,2022년10월,82,43,17,17,23,17,16,12,11,8,19,23,28,46,45,53,35,25,28,47,69,60,41,33,27,25,41,59,41,38,36
미세먼지(PM10),도시대기,[경기 시흥시]정왕동,2022년10월,89,45,16,15,23,16,15,13,9,6,16,29,28,38,49,56,39,25,37,53,80,62,43,34,24,21,41,67,43,43,32
미세먼지(PM10),도시대기,[경기 안산시]고잔동,2022년10월,72,39,13,13,18,9,9,8,6,6,13,18,18,30,37,47,25,19,23,39,51,39,31,22,12,12,26,43,31,28,23
미세먼지(PM10),도시대기,[경기 안산시]대부동,2022년10월,47,43,16,11,21,13,12,14,11,11,12,26,21,29,42,51,26,17,32,35,58,36,34,28,20,14,28,43,37,37,25
미세먼지(PM10),도시대기,[경기 안산시]본오동,2022년10월,56,36,15,18,25,16,15,16,11,11,22,30,29,35,43,51,31,26,33,46,66,47,36,30,27,21,32,55,42,37,32
미세먼지(PM10),도시대기,[경기 안산시]부곡동1,2022년10월,73,40,15,14,22,15,14,15,7,9,19,24,23,36,39,47,30,28,32,46,61,45,35,32,20,19,36,52,38,34,27
미세먼지(PM10),도시대기,[경기 안산시]원곡동,2022년10월,100,52,24,20,27,17,16,19,15,13,23,28,29,42,49,59,34,26,34,51,77,65,42,31,23,23,42,64,49,43,38
미세먼지(PM10),도시대기,[경기 안산시]원시동,2022년10월,81,47,20,19,28,18,18,22,13,14,25,53,41,46,53,62,38,29,45,62,82,61,43,36,30,27,47,64,51,43,34
미세먼지(PM10),도시대기,[경기 안산시]호수동,2022년10월,68,41,19,17,24,16,15,14,12,12,21,25,25,31,38,49,30,23,28,39,56,44,36,29,22,20,31,48,37,34,29
미세먼지(PM10),도시대기,[경기 안성시]공도읍,2022년10월,62,33,18,8,22,20,17,10,11,9,20,31,21,36,50,58,33,27,36,56,88,62,42,34,21,23,44,75,54,32,30
미세먼지(PM10),도시대기,[경기 안성시]봉산동,2022년10월,51,34,11,7,18,15,10,8,6,7,15,25,20,24,34,52,29,20,25,50,80,59,40,25,14,18,39,65,32,31,22
